Id,Comment,Designator,Footprint,Quantity,LCSC Part Number,,
5,1N4148W,"D38,D39,D37,D45,D46,D44,D16,D15,D13,D14,D8,D6,D7,D3,D4,D5,D2,D17,D18,D19,D20,D25,D26,D27,D28,D29,D30,D31,D32,RST_D1,D10,D12,D11,D9,D1,D22,D21,D23,D24,D33,D34,D35,D36,D40,D41,D43,D42",0603,47,C109002,,
8,STM32F072CBTx,U3,LQFP-48_7.0x7.0x0.5P,1,C88447,,
9,SRV05-4,U1,SOT-23-6,1,C85364,,
10,MCP1700T-3302E_SOT23,U2,SOT-23-3,1,C39051,,
11,10u,"C7,C11",0402,2,C15525,,
12,1u,"C1,C2,C6",0402,3,C52923,,
13,4.7n,C3,0402,1,C1538,,
14,100nF,"C8,C4,C9,C12",0402,4,C1525,,
15,4.7u,"C5,C10",0402,2,C23733,,
16,5k1,"R2,R1",0402,2,C25905,,
17,DTC123JKAT146,Q1,SOT-23-3,1,C111724,,
22,100k,"R3,R4",0402,2,C25741,,
23,330k,R6,0402,1,C25779,,
24,1M,"R5,R7",0402,2,C26083,,
